site,city,LocationName.geometry1,LocationName.geometry2,water,trees,grass,flooded.vegetation,crops,scrub.shrub,built.area,bare.ground,snow.ice,clouds,green.space,city,easting,northing,utm.zone,longitude,latitude
J01-UIC,Chicago,c(-87.64608525, 41.86896955),0.009329725,0,0.001464735,0,0,0,0.989205541,0,0,0,0.001464735,Chicago,446383,4635430,16N,-87.64608525,41.86896955
R02-HRF,Chicago,c(-87.71352634, 41.86875048),0,0,0.000540902,0,0,0,0.999459098,0,0,0,0.000540902,Chicago,440786,4635450,16N,-87.71352634,41.86875048
R05-FMG,Chicago,c(-87.91280444, 41.84824511),0.004200611,0.005059827,0.303398676,0,0.079907077,0.00203666,0.605397149,0,0,0,0.310495163,Chicago,424224,4633330,16N,-87.91280444,41.84824511
R05-GOC,Chicago,c(-87.88292622, 41.85757554),0,0,0.012603036,0,0,0,0.987396964,0,0,0,0.012603036,Chicago,426715,4634340,16N,-87.88292622,41.85757554
R06-SLT,Chicago,c(-87.95678013, 41.87463722),0.000477266,0.044481212,0.072353559,0,0,0,0.882687963,0,0,0,0.11683477,Chicago,420606,4636300,16N,-87.95678013,41.87463722
R06-YOW,Chicago,c(-87.9331215, 41.85870982),0,0.04767057,0,0,0,0.000286405,0.952043024,0,0,0,0.047956976,Chicago,422550,4634510,16N,-87.9331215,41.85870982
R07-FSP1,Chicago,c(-88.02228461, 41.85092549),0.000636456,0,0.011933554,0,0,0,0.98742999,0,0,0,0.011933554,Chicago,415139,4633730,16N,-88.02228461,41.85092549
R09-CTG3,Chicago,c(-88.16212907, 41.85013592),0.017725305,0.040064919,0.28350942,3.18E-05,0.04200611,0.001209267,0.615453157,0,0,0,0.324783605,Chicago,403529,4633790,16N,-88.16212907,41.85013592
R09-SMI1,Chicago,c(-88.11233979, 41.85279057),0.000381813,0,0.106589456,0,0,0,0.893028731,0,0,0,0.106589456,Chicago,407666,4634030,16N,-88.11233979,41.85279057
R10-FRM1,Chicago,c(-88.26321034, 41.81898623),0.036434799,0.125660281,0.151976071,0.000286387,0.136415707,0.098262585,0.45096417,0,0,0,0.375898937,Chicago,395087,4630450,16N,-88.26321034,41.81898623
A05-BEN1,Iowa City,c(-91.54817508, 41.64991574),0.017851461,0.000286387,0,0,0.001272831,0,0.9141157,0.006682365,0,0,0.000286387,Iowa City,620895,4611926,15N ,-91.54817508,41.64991574
A05-SAN1,Iowa City,c(-91.54630501, 41.66578921),0.059759941,0.030500812,0,0,0,0,0.902607533,0,0,0,0.030500812,Iowa City,621021,4613691,15N ,-91.54630501,41.66578921
A06-TTB1,Iowa City,c(-91.52684289, 41.61955225),0.23764646,0.238728986,0,0,0.313009424,0,0.166040499,0,0,0,0.238728986,Iowa City,622729,4608585,15N ,-91.52684289,41.61955225
A08-RES4,Iowa City,c(-91.52271883, 41.72439288),0.169697163,0.514727892,0,0,0.033563672,0,0.235041238,0.000764258,0,0,0.514727892,Iowa City,622873,4620231,15N ,-91.52271883,41.72439288
A10-HHP1,Iowa City,c(-91.51146686, 41.67536782),0,0.399287101,0,0,0,0,0.563476656,0,0,0,0.399287101,Iowa City,623903,4614804,15N ,-91.51146686,41.67536782
