"common_name","family","n","mu","sd"
"Verdin","Remizidae",98,0.32525646686554,0.194763429146569
"Orange-crowned Warbler","Parulidae",5,0.219231843948364,0.139462047762224
"Yellow Warbler","Parulidae",69,0.180668354034424,0.169905578427903
"Eurasian Collared-Dove","Columbidae",6,0.166038647294044,0.23772436572202
"Carolina Chickadee","Paridae",168,0.163696795701981,0.204396914890872
"Steller's Jay","Corvidae",11,0.152771294116974,0.161533499786021
"Common Grackle","Icteridae",32,0.139894098043442,0.172227850138566
"Chestnut-backed Chickadee","Paridae",6,0.132827162742615,0.128257818496494
"Tree Swallow","Hirundinidae",120,0.127036273479462,0.170111178697701
"Orchard Oriole","Icteridae",4,0.126312613487244,0.21707600588135
"Red-tailed Hawk","Accipitridae",10,0.115290105342865,0.0890792180206392
"Least Flycatcher","Tyrannidae",4,0.106892183423042,0.216108794038028
"California Scrub-Jay","Corvidae",2,0.106451869010925,0.150545676895215
"White-throated Sparrow","Emberizidae",679,0.106409907341003,0.173871011089522
"Golden-crowned Kinglet","Regulidae",3,0.0985093712806702,0.0831760095491384
"Wilson's Warbler","Parulidae",2,0.0975896716117859,0.138012637140924
"Bushtit","Aegithalidae",36,0.0903822034597397,0.152378555212546
"Pacific-slope Flycatcher","Tyrannidae",3,0.0846729874610901,0.0559521928450631
"Brewer's Blackbird","Icteridae",5,0.0760193765163422,0.1413146839331
"Great Blue Heron","Ardeidae",2,0.0643117427825928,0.00968096251555832
"House Wren","Troglodytidae",118,0.0583908557891846,0.147662200608205
"Brown-headed Nuthatch","Sittidae",3,0.0563456416130066,0.136885179467966
"Downy Woodpecker","Picidae",112,0.0539479106664658,0.162245810089295
"Black-tailed Gnatcatcher","Polioptilidae",41,0.052632212638855,0.188820662895969
"Eastern Phoebe","Tyrannidae",43,0.0444891452789307,0.20124500292698
"Bewick's Wren","Troglodytidae",62,0.0411497354507446,0.13884107628102
"California Towhee","Emberizidae",243,0.0403346419334412,0.147116186235425
"Swamp Sparrow","Emberizidae",23,0.0367767810821533,0.152430800516311
"Caspian Tern","Laridae",11,0.0347439050674438,0.0929307546096912
"Black Phoebe","Tyrannidae",46,0.0318408012390137,0.142979945269351
"Vesper Sparrow","Emberizidae",7,0.0303360819816589,0.0374429912787543
"Barn Swallow","Hirundinidae",3,0.0289476215839386,0.11570945709938
"Hutton's Vireo","Vireonidae",10,0.0274731814861298,0.0667566230519854
"American Redstart","Parulidae",59,0.0263819694519043,0.173943539932158
"Allen's Hummingbird","Trochilidae",27,0.0215758681297302,0.163610133100024
"Ash-throated Flycatcher","Tyrannidae",22,0.018245056271553,0.199945160792398
"White-winged Dove","Columbidae",33,0.0149421095848083,0.0866259063305174
"Common Raven","Corvidae",2,0.0148234367370605,0.0209635052745306
"Chestnut-sided Warbler","Parulidae",5,0.0129818618297577,0.0685965108405347
"Acorn Woodpecker","Picidae",9,0,0.200093612710218
"American Crow","Corvidae",210,0,0.0730386270531836
"American Goldfinch","Fringillidae",149,0,0.0922434382105839
"American Kestrel","Falconidae",11,0,0.0767383257050299
"American Pipit","Motacillidae",20,0,0
"American Robin","Turdidae",3734,0,0.0692926481278281
"Anna's Hummingbird","Trochilidae",64,0,0.13146074188915
"Baltimore Oriole","Icteridae",16,0,0.159823354472381
"Barred Owl","Strigidae",11,0,0.135350141282206
"Belted Kingfisher","Alcedinidae",8,0,0.135147213647664
"Black-and-white Warbler","Parulidae",19,0,0.0922118851372612
"Black-billed Magpie","Corvidae",598,0,0.0610445834713744
"Black-capped Chickadee","Paridae",749,0,0.0972154664081048
"Black-throated Green Warbler","Parulidae",25,0,0.120619583726382
"Blue Jay","Corvidae",106,0,0.138297557625991
"Blue-gray Gnatcatcher","Polioptilidae",55,0,0.133212715583953
"Blue-headed Vireo","Vireonidae",15,0,0.0428766561414494
"Brown Creeper","Certhiidae",15,0,0.0966640112714071
"Brown Thrasher","Mimidae",27,0,0.098054221783385
"Brown-headed Cowbird","Icteridae",110,0,0.123149567763543
"Bullock's Oriole","Icteridae",23,0,0.109940028748297
"California Quail","Odontophoridae",27,0,0.000483401980021398
"California Thrasher","Mimidae",2,0,0
"Canada Goose","Anatidae",76,0,0.143469119561062
"Carolina Wren","Troglodytidae",880,0,0.107015246620048
"Cassin's Finch","Fringillidae",2,0,0
"Cedar Waxwing","Bombycillidae",4,0,0.058105394244194
"Chimney Swift","Apodidae",13,0,0.125774653431661
"Chipping Sparrow","Emberizidae",78,0,0.134791298037318
"Cliff Swallow","Hirundinidae",9,0,0.218130564127741
"Common Yellowthroat","Parulidae",16,0,0.0708139017224312
"Cooper's Hawk","Accipitridae",5,0,0
"Dark-eyed Junco","Emberizidae",78,0,0.0895429003721568
"Eastern Bluebird","Turdidae",5,0,0
"Eastern Meadowlark","Icteridae",5,0,0
"Eastern Towhee","Emberizidae",298,0,0.0813991278723426
"European Starling","Sturnidae",12,0,0.00443107271412189
"Evening Grosbeak","Fringillidae",12,0,0.0360706439276481
"Field Sparrow","Emberizidae",13,0,0.181496350227255
"Fish Crow","Corvidae",67,0,0.118437890119813
"Franklin's Gull","Laridae",18,0,0.0764351833853887
"Gadwall","Anatidae",11,0,0.00834546849820672
"Gambel's Quail","Odontophoridae",29,0,0.0432805773531573
"Gray Catbird","Mimidae",88,0,0.0818611792953587
"Great Crested Flycatcher","Tyrannidae",32,0,0.0603471997136234
"Great-tailed Grackle","Icteridae",2,0,0
"Greater Yellowlegs","Scolopacidae",7,0,0
"Green-winged Teal","Anatidae",11,0,0.0897037965425284
"Hairy Woodpecker","Picidae",30,0,0.0990008517189662
"Hermit Thrush","Turdidae",39,0,0.101887660592073
"Hooded Oriole","Icteridae",6,0,0.0229401873998428
"House Finch","Fringillidae",299,0,0.0611567021649579
"House Sparrow","Passeridae",336,0,0.0590269101745202
"Indigo Bunting","Cardinalidae",6,0,0.0505785914810974
"Kentucky Warbler","Parulidae",17,0,0.0238009720181566
"Killdeer","Charadriidae",40,0,0.0746062683832374
"Lawrence's Goldfinch","Fringillidae",7,0,0.118706826928036
"Lazuli Bunting","Cardinalidae",176,0,0.0976131830087225
"Lesser Goldfinch","Fringillidae",62,0,0.127528172057986
"Long-billed Dowitcher","Scolopacidae",3,0,0
"Louisiana Waterthrush","Parulidae",12,0,0.149274538554463
"MacGillivray's Warbler","Parulidae",3,0,0
"Mallard","Anatidae",55,0,0.0983525341549758
"Mourning Dove","Columbidae",88,0,0.137692413695594
"Nashville Warbler","Parulidae",63,0,0.114776624997893
