path,mean_dB
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_0.wav,102.0289034
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_104.85.wav,101.0905714
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_109.25.wav,102.149638
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_11.950000000000003.wav,101.9275618
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_114.35.wav,103.8798977
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_121.85000000000001.wav,101.4566265
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_126.15.wav,98.66567412
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_128.85.wav,102.7451274
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_134.95.wav,101.7832142
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_140.15.wav,100.493885
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_144.05.wav,101.4451067
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_148.75.wav,101.0230863
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_153.75.wav,101.8404168
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_158.85.wav,103.7071001
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_16.85.wav,101.1288576
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_166.95000000000002.wav,100.3215827
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_170.45.wav,102.2190681
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_176.45.wav,97.6610221
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_178.65.wav,103.9104546
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_186.35.wav,101.2905347
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_191.55.wav,97.09851722
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_193.25.wav,102.2224957
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_199.75.wav,102.0374943
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_205.85.wav,101.2418198
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_21.250000000000004.wav,99.5338128
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_210.95.wav,101.7578105
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_216.55.wav,101.593892
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_220.75.wav,101.4736906
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_226.15.wav,98.55987838
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_228.65.wav,101.2784691
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_233.95.wav,102.8090449
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_24.55.wav,102.3939577
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_241.05.wav,101.9266422
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_246.75.wav,101.0192624
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_250.95.wav,98.70566188
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_253.65.wav,103.335858
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_261.15.wav,97.87235655
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_263.45.wav,103.3702455
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_271.15.wav,101.1654868
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_276.35.wav,100.1890766
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_280.05.wav,102.4855552
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_286.05.wav,101.6049998
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_290.85.wav,100.3032498
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_294.25.wav,103.6797977
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_30.650000000000002.wav,103.3234319
