path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_0\20210418_085400_0.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8190251588821411
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_0\20210418_085400_0.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8190251588821411
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_0\20210418_085400_0.wav,Tufted Titmouse,Baeolophus bicolor,3,4,0.3610868752002716
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_143.85\20210418_085400_143.85.wav,American Goldfinch,Spinus tristis,3,6,0.8066703081130981
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_152.15\20210418_085400_152.15.wav,Purple Finch,Haemorhous purpureus,0,1,0.2679184079170227
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_153.85\20210418_085400_153.85.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.5412843823432922
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_153.85\20210418_085400_153.85.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.5412843823432922
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_153.85\20210418_085400_153.85.wav,Carolina Wren,Thryothorus ludovicianus,3,5,0.25997236371040344
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_159.75\20210418_085400_159.75.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.8875197768211365
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_164.35\20210418_085400_164.35.wav,Carolina Wren,Thryothorus ludovicianus,0,3,0.7115328311920166
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_173.65\20210418_085400_173.65.wav,American Goldfinch,Spinus tristis,0,3,0.8555680513381958
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_173.65\20210418_085400_173.65.wav,American Goldfinch,Spinus tristis,0,3,0.8555680513381958
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_173.65\20210418_085400_173.65.wav,Carolina Wren,Thryothorus ludovicianus,3,6,0.5423489212989807
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_179.85\20210418_085400_179.85.wav,American Goldfinch,Spinus tristis,3,6,0.6187697052955627
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_186.15\20210418_085400_186.15.wav,Tufted Titmouse,Baeolophus bicolor,0,3,0.26975369453430176
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_189.65\20210418_085400_189.65.wav,American Goldfinch,Spinus tristis,0,3,0.4787984788417816
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_194.65\20210418_085400_194.65.wav,American Goldfinch,Spinus tristis,0,3,0.4643525183200836
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_198.25\20210418_085400_198.25.wav,American Goldfinch,Spinus tristis,3,6,0.7502295970916748
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_211.45\20210418_085400_211.45.wav,American Goldfinch,Spinus tristis,0,2,0.4690808355808258
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_213.45\20210418_085400_213.45.wav,American Goldfinch,Spinus tristis,3,6,0.5719492435455322
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_219.55\20210418_085400_219.55.wav,American Goldfinch,Spinus tristis,0,3,0.8882812261581421
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_227.05\20210418_085400_227.05.wav,American Goldfinch,Spinus tristis,0,3,0.41039329767227173
D:/uwin_sounds/TEMP\WIDE\Jacque_Williamson_-_2021-05-14_17.46.05_-_W05-FZS1\20210418_085400_234.25\20210418_085400_234.25.wav,American Goldfinch,Spinus tristis,0,3,0.9391388297080994
