path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_11.950000000000003\20210504_063000_11.950000000000003.wav,Eastern Phoebe,Sayornis phoebe,3,4,0.3598501682281494
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_114.35\20210504_063000_114.35.wav,Eastern Towhee,Pipilo erythrophthalmus,3,6,0.27106690406799316
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_148.75\20210504_063000_148.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.33946603536605835
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_148.75\20210504_063000_148.75.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.29621389508247375
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_153.75\20210504_063000_153.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.28695207834243774
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_170.45\20210504_063000_170.45.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.46945878863334656
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_176.45\20210504_063000_176.45.wav,Eastern Phoebe,Sayornis phoebe,0,2,0.5495517253875732
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_186.35\20210504_063000_186.35.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.6151815056800842
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_186.35\20210504_063000_186.35.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.35627010464668274
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_193.25\20210504_063000_193.25.wav,Eastern Phoebe,Sayornis phoebe,3,6,0.5118868350982666
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_205.85\20210504_063000_205.85.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.4348560571670532
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_210.95\20210504_063000_210.95.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.2768457531929016
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_220.75\20210504_063000_220.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.5173348784446716
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_233.95\20210504_063000_233.95.wav,Wood Thrush,Hylocichla mustelina,3,6,0.339032381772995
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_246.75\20210504_063000_246.75.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.4787196218967438
D:/uwin_sounds/split_audio/output\ATGA\Druid_Hills_GC\20210504_063000_271.15\20210504_063000_271.15.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.344399094581604
