path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_11.950000000000003.wav,Eastern Phoebe,Sayornis phoebe,3,4,0.3598501682281494
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_148.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.33946603536605835
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_153.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.28695207834243774
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_176.45.wav,Eastern Phoebe,Sayornis phoebe,0,2,0.5495517253875732
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_186.35.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.6151815056800842
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_220.75.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.5173348784446716
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_30.650000000000002.wav,Northern Cardinal,Cardinalis cardinalis,0,3,0.4316384196281433
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210504_063000_37.050000000000004.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.7482763528823853
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_10.150000000000002.wav,Eastern Phoebe,Sayornis phoebe,3,5,0.549363911151886
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_113.25.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.3822243809700012
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_15.950000000000003.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.4384005069732666
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_173.65.wav,Eastern Phoebe,Sayornis phoebe,3,6,0.326137512922287
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210505_063000_24.25.wav,Eastern Phoebe,Sayornis phoebe,0,3,0.4551291763782501
