path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_159.75.wav,Verdin,Auriparus flaviceps,0,3,0.37440958619117737
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_180.95.wav,Verdin,Auriparus flaviceps,0,3,0.36519524455070496
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_184.05.wav,Verdin,Auriparus flaviceps,0,3,0.36646711826324463
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_188.35.wav,Verdin,Auriparus flaviceps,3,6,0.37648409605026245
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_226.65.wav,Verdin,Auriparus flaviceps,0,2,0.42044368386268616
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_240.25.wav,Verdin,Auriparus flaviceps,3,6,0.5905338525772095
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_246.55.wav,Verdin,Auriparus flaviceps,0,3,0.2938690483570099
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_255.95.wav,Verdin,Auriparus flaviceps,3,4,0.27198225259780884
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_279.95.wav,Verdin,Auriparus flaviceps,3,4,0.26500949263572693
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_284.45.wav,Verdin,Auriparus flaviceps,0,3,0.3694780170917511
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210418_075500_289.25.wav,Verdin,Auriparus flaviceps,3,6,0.5730918645858765
D:/uwin_sounds/split_audio\PHAZ\Jesse_-_01_PHAZ_V01\20210419_075500_10.150000000000002.wav,Verdin,Auriparus flaviceps,3,4,0.7029034495353699
