path,common_name,scientific_name,start_time,end_time,confidence
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_102.05.wav,American Robin,Turdus migratorius,0,3,0.34421026706695557
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_117.05.wav,American Robin,Turdus migratorius,0,3,0.9842491745948792
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_120.85000000000001.wav,American Robin,Turdus migratorius,0,3,0.8366202712059021
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_125.75.wav,American Robin,Turdus migratorius,0,3,0.5070072412490845
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_132.05.wav,American Robin,Turdus migratorius,0,3,0.7957472801208496
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_136.45.wav,American Robin,Turdus migratorius,0,3,0.4672325849533081
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_139.55.wav,American Robin,Turdus migratorius,0,3,0.6185830235481262
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_144.25.wav,American Robin,Turdus migratorius,3,5,0.8536599278450012
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_158.85.wav,American Robin,Turdus migratorius,3,6,0.9452000856399536
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_177.05.wav,American Robin,Turdus migratorius,0,2,0.3886426091194153
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_179.35.wav,American Robin,Turdus migratorius,3,6,0.8605517745018005
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_18.45.wav,American Robin,Turdus migratorius,6,8,0.7750547528266907
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_189.65.wav,American Robin,Turdus migratorius,0,3,0.6439782977104187
D:/uwin_sounds/split_audio\SCUT\Austin_Green_-_2021-07-01_06.22.55_-_SLC_05\20210424_060000_204.65.wav,American Robin,Turdus migratorius,3,6,0.354057639837265
